Month,Day,max,min,mean
6,19,12.61,11.67,12.0625
6,20,12.61,11.21,11.9075
6,21,12.77,11.36,12.025
6,22,12.77,11.36,12.0625
6,23,12.92,11.21,12.1025
6,24,13.39,11.67,12.61
6,25,14,12.29,13.19
6,26,14.31,13.08,13.6175
6,27,13.85,12.92,13.27
6,28,13.08,12.14,12.53
6,29,13.23,11.83,12.53
6,30,13.54,11.98,12.765
7,1,13.69,12.29,12.955
7,2,14,12.29,13.15
7,3,14,12.77,13.3875
7,4,13.69,12.61,13.115
7,5,18.63,12.45,14.3475
7,6,12.92,12.45,12.6075
7,7,13.39,11.83,12.57
7,8,14,12.14,13.075
7,9,13.85,12.92,13.3875
7,10,13.39,12.77,13.04
7,11,13.54,12.14,12.88
7,12,14.16,12.29,13.1475
7,13,13.39,12.92,13.155
7,14,13.08,12.61,12.845
7,15,13.54,12.29,12.8025
7,16,13.54,11.83,12.6475
7,17,13.08,12.14,12.49
7,18,13.39,11.67,12.49
7,19,13.08,11.98,12.53
7,20,14,12.14,13.1125
7,21,14.78,13.08,13.89
7,22,15.11,13.69,14.3575
7,23,15.27,14.16,14.555
7,24,15.11,13.85,14.28
7,25,14.63,13.54,13.9675
7,26,14.78,13.39,13.9275
7,27,14.63,13.39,13.85
7,28,13.69,13.08,13.27
7,29,13.23,12.77,12.9225
7,30,13.39,11.52,12.57
7,31,13.23,12.29,12.685
8,1,13.85,12.29,12.9575
8,2,13.69,12.29,12.8775
8,3,13.69,12.45,12.9975
8,4,13.69,12.61,12.96
8,5,13.85,12.14,12.88
8,6,14.16,12.45,13.1925
8,7,14.16,12.77,13.31
8,8,13.08,12.61,12.845
8,9,13.85,12.77,13.195
8,10,13.39,12.92,13.0375
8,11,13.08,12.61,12.7275
8,12,13.69,12.29,12.88
8,13,13.85,12.29,12.995
8,14,14,12.77,13.23
8,15,13.69,12.77,13.075
8,16,13.69,12.45,12.9175
8,17,13.54,12.45,12.8425
8,18,13.69,12.29,12.9175
8,19,13.85,12.77,13.1175
8,20,14,12.61,13.115
8,21,14,12.45,13.0725
8,22,13.69,12.61,12.9975
8,23,13.39,12.45,12.8425
8,24,13.39,12.45,12.765
8,25,13.69,12.29,12.8375
8,26,13.85,12.61,13.0775
8,27,13.85,12.61,13.115
8,28,14,12.77,13.1925
8,29,13.23,12.61,12.8425
8,30,13.08,12.14,12.49
8,31,12.92,11.83,12.255
9,1,13.08,11.67,12.2975
9,2,13.39,11.98,12.53
9,3,13.39,12.29,12.7225
9,4,13.54,12.45,12.84
9,5,13.54,12.29,12.76
9,6,13.54,12.45,12.8025
9,7,13.39,12.29,12.645
9,8,13.23,11.98,12.45
9,9,12.77,12.45,12.57
9,10,12.92,11.83,12.2175
9,11,13.08,11.83,12.335
9,12,13.23,12.14,12.57
9,13,12.77,12.14,12.4125
9,14,11.98,11.52,11.71
9,15,11.98,11.06,11.365
9,16,12.14,10.9,11.4025
9,17,11.52,11.06,11.365
9,18,12.29,11.83,12.06
9,19,12.14,11.52,11.7525
9,20,12.77,11.36,11.945
9,21,12.14,11.36,11.71
9,22,11.83,10.9,11.21
9,23,11.83,10.74,11.2075
9,24,12.14,11.06,11.4825
9,25,12.29,11.36,11.71
9,26,12.45,11.52,11.905
9,27,12.61,11.83,12.1025
9,28,12.61,11.83,12.0625
9,29,12.45,11.67,11.865
9,30,11.83,11.21,11.4025
10,1,11.52,10.59,11.0575
10,2,11.21,9.96,10.5075
10,3,11.06,10.12,10.4725
10,4,11.21,10.28,10.6275
10,5,11.21,9.96,10.51
10,6,11.06,10.28,10.7075
10,7,11.06,9.81,10.315
10,8,10.9,10.28,10.5875
10,9,10.59,9.65,9.965
10,10,10.43,9.18,9.7275
10,11,10.59,9.49,9.885
10,12,10.59,9.49,10.0025
10,13,10.59,9.65,10.04
10,14,10.74,9.81,10.315
10,15,11.67,10.43,11.1675
10,16,11.52,11.21,11.4425
10,17,11.06,10.59,10.8625
10,18,10.9,10.43,10.665
10,19,11.36,10.59,11.0525
10,20,10.74,9.81,10.43
10,21,9.96,9.34,9.495
10,22,9.81,8.87,9.3775
10,23,9.96,9.18,9.5325
10,24,10.12,9.49,9.6475
10,25,9.65,8.72,9.2225
10,26,10.59,9.65,10.08
10,27,10.9,10.43,10.7025
10,28,11.06,10.59,10.745
10,29,9.65,7.63,8.795
10,30,6.86,6.07,6.425
10,31,6.54,5.61,5.92
11,1,7.17,5.45,6.1925
11,2,7.79,6.86,7.325
11,3,10.12,8.72,9.535
11,4,10.59,10.12,10.3925
11,5,10.59,10.28,10.4325
11,6,11.52,10.59,11.21
11,7,11.21,10.43,10.9
11,8,10.12,9.65,9.9225
11,9,9.81,9.03,9.3025
11,10,9.34,7.79,8.7575
11,11,9.34,9.03,9.2625
11,12,9.18,8.41,8.95
11,13,9.03,8.72,8.875
11,14,9.03,8.41,8.7975
11,15,8.87,7.79,8.485
11,16,8.72,8.26,8.565
11,17,8.72,8.26,8.45
11,18,9.18,8.56,8.87
11,19,9.18,8.72,8.9875
11,20,9.03,8.56,8.7575
11,21,8.72,8.41,8.525
11,22,8.56,7.94,8.33
11,23,8.26,7.63,7.905
11,24,7.94,7.32,7.7075
11,25,7.17,6.23,6.895
11,26,6.23,5.61,5.88
11,27,5.61,5.29,5.41
11,28,4.67,3.89,4.4
11,29,4.52,3.73,4.085
11,30,5.45,4.98,5.255
12,1,5.92,5.61,5.7625
12,2,5.76,5.45,5.6075
12,3,5.76,5.29,5.5275
12,4,5.76,5.29,5.4475
12,5,5.76,5.61,5.7225
12,6,5.92,5.76,5.84
12,7,6.39,5.76,6.075
12,8,6.54,6.23,6.3075
12,9,6.54,5.92,6.31
12,10,7.01,6.39,6.74
12,11,6.86,6.54,6.78
